timestamp,experiment_id,material,thickness_mm,inlet_temp_c,outlet_temp_c,delta_t_c,flow_lpm,pwm,pump,mode,alarm,efficiency,notes
2026-08-07 01:06:55,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:06:56,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:06:57,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:06:58,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:06:59,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:07:00,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:01,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,6,ON,AUTO,NONE,0.00,
2026-08-07 01:07:03,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,6,ON,AUTO,NONE,0.00,
2026-08-07 01:07:04,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,14,ON,AUTO,NONE,0.00,
2026-08-07 01:07:05,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,22,ON,AUTO,NONE,0.00,
2026-08-07 01:07:06,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,30,ON,AUTO,NONE,0.00,
2026-08-07 01:07:07,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,38,ON,AUTO,NONE,0.00,
2026-08-07 01:07:08,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,46,ON,AUTO,NONE,0.00,
2026-08-07 01:07:09,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,46,ON,AUTO,NONE,0.00,
2026-08-07 01:07:10,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,54,ON,AUTO,NONE,0.00,
2026-08-07 01:07:11,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,62,ON,AUTO,NONE,0.00,
2026-08-07 01:07:12,EXP-001,Al6061,8,29.06,28.87,-0.19,0.00,70,ON,AUTO,NONE,0.00,
2026-08-07 01:07:13,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,76,ON,AUTO,NONE,0.00,
2026-08-07 01:07:15,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:16,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:17,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:18,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:19,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:20,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:21,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:22,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:23,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:24,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:26,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:27,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
2026-08-07 01:07:28,EXP-001,Al6061,8,29.06,28.81,-0.25,0.00,0,OFF,AUTO,NONE,0.00,
