timestamp,experiment_id,material,thickness_mm,inlet_temp_c,outlet_temp_c,delta_t_c,flow_lpm,pwm,pump,mode,alarm,efficiency,notes
2026-08-07 01:03:18,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:19,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:20,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:21,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:22,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:23,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:24,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:26,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:27,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:28,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:29,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:30,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:31,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:03:32,EXP-001,Al6061,8,0.00,0.00,0.00,0.00,0,OFF,MANUAL,NONE,0.00,
